# OpenSignals Text File Format. Version 1
# {"98:D3:71:FD:62:1E": {"position": 0, "device": "bitalino_rev", "device name": "98:D3:71:FD:62:1E", "device connection": "BTH98:D3:71:FD:62:1E", "sampling rate": 1000, "resolution": [4, 1, 1, 1, 1, 10], "firmware version": 1282, "comments": "", "keywords": "", "mode": 0, "sync interval": 2, "date": "2023-4-12", "time": "12:3:42.459", "channels": [2], "sensor": ["EGGBIT"], "label": ["A2"], "column": ["nSeq", "I1", "I2", "O1", "O2", "A2"], "special": [{}], "digital IO": [0, 0, 1, 1]}}
# EndOfHeader
0	0	0	0	0	509	
1	0	0	0	0	507	
2	0	0	0	0	505	
3	0	0	0	0	504	
4	0	0	0	0	507	
5	0	0	0	0	511	
6	0	0	0	0	516	
7	0	0	0	0	521	
8	0	0	0	0	524	
9	0	0	0	0	525	
10	0	0	0	0	527	
11	0	0	0	0	527	
12	0	0	0	0	524	
13	0	0	0	0	520	
14	0	0	0	0	514	
15	0	0	0	0	512	
0	0	0	0	0	509	
1	0	0	0	0	508	
2	0	0	0	0	509	
3	0	0	0	0	511	
4	0	0	0	0	511	
5	0	0	0	0	512	
6	0	0	0	0	514	
7	0	0	0	0	515	
8	0	0	0	0	516	
9	0	0	0	0	518	
10	0	0	0	0	519	
11	0	0	0	0	519	
12	0	0	0	0	518	
13	0	0	0	0	515	
14	0	0	0	0	512	
15	0	0	0	0	508	
0	0	0	0	0	506	
1	0	0	0	0	505	
2	0	0	0	0	505	
3	0	0	0	0	504	
4	0	0	0	0	505	
5	0	0	0	0	509	
6	0	0	0	0	512	
7	0	0	0	0	516	
8	0	0	0	0	520	
9	0	0	0	0	523	
10	0	0	0	0	524	
11	0	0	0	0	524	
12	0	0	0	0	524	
13	0	0	0	0	523	
14	0	0	0	0	521	
15	0	0	0	0	518	
0	0	0	0	0	515	
1	0	0	0	0	512	
2	0	0	0	0	508	
3	0	0	0	0	505	
4	0	0	0	0	504	
5	0	0	0	0	504	
6	0	0	0	0	508	
7	0	0	0	0	511	
8	0	0	0	0	515	
9	0	0	0	0	519	
10	0	0	0	0	520	
11	0	0	0	0	518	
12	0	0	0	0	516	
13	0	0	0	0	514	
14	0	0	0	0	513	
15	0	0	0	0	510	
0	0	0	0	0	507	
1	0	0	0	0	503	
2	0	0	0	0	502	
3	0	0	0	0	503	
4	0	0	0	0	503	
5	0	0	0	0	503	
6	0	0	0	0	504	
7	0	0	0	0	508	
8	0	0	0	0	513	
9	0	0	0	0	516	
10	0	0	0	0	519	
11	0	0	0	0	521	
12	0	0	0	0	524	
13	0	0	0	0	522	
14	0	0	0	0	519	
15	0	0	0	0	515	
0	0	0	0	0	513	
1	0	0	0	0	510	
2	0	0	0	0	507	
3	0	0	0	0	505	
4	0	0	0	0	504	
5	0	0	0	0	503	
6	0	0	0	0	501	
7	0	0	0	0	502	
8	0	0	0	0	505	
9	0	0	0	0	510	
10	0	0	0	0	515	
11	0	0	0	0	519	
12	0	0	0	0	520	
13	0	0	0	0	518	
14	0	0	0	0	517	
15	0	0	0	0	514	
0	0	0	0	0	511	
1	0	0	0	0	508	
2	0	0	0	0	506	
3	0	0	0	0	505	
4	0	0	0	0	504	
