t3,d_sensor3
0.366,518.0
0.367,522.0
0.368,525.0
0.369,527.0
0.37,525.0
0.371,520.0
0.372,515.0
0.373,508.0
0.374,502.0
0.375,496.0
0.376,492.0
0.377,488.0
0.378,487.0
0.379,487.0
0.38,490.0
0.381,494.0
0.382,499.0
0.383,503.0
0.384,508.0
0.385,510.0
0.386,511.0
0.387,512.0
0.388,511.0
0.389,508.0
0.39,503.0
0.391,499.0
0.392,494.0
0.393,491.0
0.394,489.0
0.395,487.0
0.396,487.0
0.397,489.0
0.398,494.0
0.399,499.0
0.4,504.0
0.401,508.0
0.402,511.0
0.403,513.0
0.404,512.0
0.405,508.0
0.406,503.0
0.40700000000000003,497.0
0.40800000000000003,489.0
0.40900000000000003,483.0
0.41000000000000003,479.0
0.41100000000000003,476.0
0.41200000000000003,472.0
0.41300000000000003,470.0
0.41400000000000003,470.0
0.41500000000000004,473.0
0.41600000000000004,478.0
0.417,483.0
0.418,488.0
0.419,494.0
0.42,499.0
0.421,502.0
0.422,505.0
0.423,508.0
0.424,511.0
0.425,514.0
0.426,518.0
0.427,525.0
0.428,536.0
0.429,550.0
0.43,568.0
0.431,587.0
0.432,609.0
0.433,630.0
0.434,651.0
0.435,671.0
0.436,690.0
0.437,707.0
0.438,720.0
0.439,730.0
0.44,734.0
0.441,736.0
0.442,738.0
0.443,736.0
0.444,735.0
0.445,733.0
0.446,732.0
0.447,728.0
0.448,724.0
0.449,716.0
0.45,704.0
0.451,687.0
0.452,667.0
0.453,644.0
0.454,620.0
0.455,593.0
0.456,569.0
0.457,544.0
0.458,520.0
0.459,499.0
0.46,479.0
0.461,461.0
0.462,450.0
0.463,442.0
0.464,438.0
0.465,435.0
0.466,436.0
0.467,439.0
0.468,443.0
0.46900000000000003,444.0
0.47000000000000003,443.0
0.47100000000000003,440.0
0.47200000000000003,437.0
0.47300000000000003,433.0
0.47400000000000003,430.0
0.47500000000000003,426.0
0.47600000000000003,422.0
0.47700000000000004,420.0
0.47800000000000004,420.0
0.47900000000000004,425.0
0.48,429.0
0.481,436.0
0.482,445.0
0.483,455.0
0.484,464.0
0.485,472.0
0.486,478.0
0.487,479.0
0.488,479.0
0.489,478.0
0.49,473.0
0.491,468.0
0.492,463.0
0.493,459.0
0.494,456.0
0.495,456.0
0.496,459.0
0.497,463.0
0.498,469.0
0.499,476.0
0.5,481.0
0.501,486.0
0.502,488.0
0.503,488.0
0.504,487.0
0.505,482.0
0.506,478.0
0.507,475.0
0.508,471.0
0.509,467.0
0.51,463.0
0.511,462.0
0.512,463.0
0.513,466.0
0.514,469.0
0.515,474.0
0.516,480.0
0.517,487.0
0.518,491.0
0.519,495.0
0.52,496.0
0.521,494.0
0.522,490.0
0.523,486.0
0.524,481.0
0.525,476.0
0.526,471.0
0.527,467.0
0.528,466.0
0.529,468.0
0.53,472.0
0.531,477.0
0.532,482.0
0.533,488.0
0.534,496.0
0.535,503.0
0.536,507.0
0.537,508.0
0.538,504.0
0.539,500.0
0.54,495.0
0.541,489.0
0.542,484.0
0.543,479.0
0.544,476.0
0.545,476.0
0.546,478.0
0.547,482.0
0.548,487.0
0.549,494.0
0.55,500.0
0.551,505.0
0.552,510.0
0.553,512.0
0.554,511.0
0.555,508.0
0.556,503.0
0.557,498.0
0.558,492.0
0.559,489.0
0.56,485.0
0.561,483.0
0.562,483.0
0.5630000000000001,485.0
0.5640000000000001,489.0
0.5650000000000001,495.0
0.5660000000000001,502.0
0.5670000000000001,508.0
0.5680000000000001,513.0
0.5690000000000001,516.0
0.5700000000000001,517.0
0.5710000000000001,515.0
0.5720000000000001,511.0
0.5730000000000001,507.0
0.5740000000000001,502.0
0.5750000000000001,498.0
0.5760000000000001,495.0
0.577,492.0
0.578,491.0
0.579,492.0
0.58,494.0
0.581,497.0
0.582,503.0
0.583,509.0
0.584,514.0
0.585,518.0
0.586,519.0
0.587,518.0
0.588,515.0
0.589,513.0
0.59,509.0
0.591,505.0
0.592,499.0
0.593,494.0
0.594,491.0
0.595,491.0
0.596,495.0
0.597,501.0
0.598,507.0
0.599,515.0
0.6,521.0
0.601,526.0
0.602,529.0
0.603,530.0
0.604,528.0
0.605,524.0
0.606,519.0
0.607,514.0
0.608,509.0
0.609,505.0
0.61,502.0
0.611,500.0
0.612,501.0
0.613,502.0
0.614,505.0
0.615,509.0
0.616,516.0
0.617,523.0
0.618,528.0
0.619,532.0
0.62,533.0
0.621,531.0
0.622,528.0
0.623,524.0
0.624,518.0
0.625,513.0
0.626,509.0
0.627,507.0
0.628,506.0
0.629,507.0
0.63,510.0
0.631,515.0
0.632,521.0
0.633,528.0
0.634,534.0
0.635,539.0
0.636,542.0
0.637,542.0
0.638,540.0
0.639,537.0
0.64,531.0
0.641,526.0
0.642,523.0
0.643,520.0
0.644,519.0
0.645,520.0
0.646,523.0
0.647,526.0
0.648,530.0
0.649,535.0
