t2,d_sensor2
0.366,492.0
0.367,492.0
0.368,492.0
0.369,492.0
0.37,492.0
0.371,494.0
0.372,499.0
0.373,503.0
0.374,507.0
0.375,508.0
0.376,508.0
0.377,507.0
0.378,505.0
0.379,503.0
0.38,499.0
0.381,497.0
0.382,494.0
0.383,492.0
0.384,492.0
0.385,493.0
0.386,496.0
0.387,497.0
0.388,500.0
0.389,504.0
0.39,508.0
0.391,513.0
0.392,517.0
0.393,517.0
0.394,516.0
0.395,514.0
0.396,512.0
0.397,509.0
0.398,505.0
0.399,499.0
0.4,496.0
0.401,497.0
0.402,499.0
0.403,501.0
0.404,505.0
0.405,508.0
0.406,512.0
0.40700000000000003,513.0
0.40800000000000003,513.0
0.40900000000000003,514.0
0.41000000000000003,514.0
0.41100000000000003,512.0
0.41200000000000003,510.0
0.41300000000000003,506.0
0.41400000000000003,504.0
0.41500000000000004,501.0
0.41600000000000004,499.0
0.417,499.0
0.418,499.0
0.419,502.0
0.42,505.0
0.421,507.0
0.422,511.0
0.423,514.0
0.424,516.0
0.425,519.0
0.426,519.0
0.427,519.0
0.428,518.0
0.429,514.0
0.43,510.0
0.431,509.0
0.432,508.0
0.433,507.0
0.434,506.0
0.435,505.0
0.436,507.0
0.437,511.0
0.438,515.0
0.439,520.0
0.44,524.0
0.441,527.0
0.442,527.0
0.443,526.0
0.444,525.0
0.445,523.0
0.446,521.0
0.447,518.0
0.448,515.0
0.449,513.0
0.45,513.0
0.451,513.0
0.452,514.0
0.453,516.0
0.454,520.0
0.455,523.0
0.456,525.0
0.457,527.0
0.458,527.0
0.459,529.0
0.46,530.0
0.461,530.0
0.462,527.0
0.463,524.0
0.464,520.0
0.465,516.0
0.466,515.0
0.467,517.0
0.468,520.0
0.46900000000000003,521.0
0.47000000000000003,524.0
0.47100000000000003,526.0
0.47200000000000003,529.0
0.47300000000000003,533.0
0.47400000000000003,535.0
0.47500000000000003,536.0
0.47600000000000003,538.0
0.47700000000000004,540.0
0.47800000000000004,540.0
0.47900000000000004,539.0
0.48,534.0
0.481,531.0
0.482,527.0
0.483,525.0
0.484,525.0
0.485,526.0
0.486,527.0
0.487,529.0
0.488,532.0
0.489,535.0
0.49,540.0
0.491,545.0
0.492,545.0
0.493,544.0
0.494,544.0
0.495,543.0
0.496,539.0
0.497,534.0
0.498,529.0
0.499,526.0
0.5,523.0
0.501,523.0
0.502,526.0
0.503,530.0
0.504,534.0
0.505,536.0
0.506,539.0
0.507,541.0
0.508,542.0
0.509,544.0
0.51,543.0
0.511,543.0
0.512,540.0
0.513,535.0
0.514,532.0
0.515,528.0
0.516,526.0
0.517,523.0
0.518,523.0
0.519,526.0
0.52,526.0
0.521,527.0
0.522,530.0
0.523,534.0
0.524,538.0
0.525,538.0
0.526,537.0
0.527,535.0
0.528,531.0
0.529,527.0
0.53,522.0
0.531,518.0
0.532,513.0
0.533,511.0
0.534,511.0
0.535,510.0
0.536,511.0
0.537,508.0
0.538,507.0
0.539,510.0
0.54,512.0
0.541,513.0
0.542,513.0
0.543,511.0
0.544,508.0
0.545,504.0
0.546,498.0
0.547,493.0
0.548,487.0
0.549,481.0
0.55,478.0
0.551,477.0
0.552,475.0
0.553,474.0
0.554,475.0
0.555,477.0
0.556,479.0
0.557,484.0
0.558,487.0
0.559,488.0
0.56,485.0
0.561,480.0
0.562,478.0
0.5630000000000001,475.0
0.5640000000000001,472.0
0.5650000000000001,468.0
0.5660000000000001,463.0
0.5670000000000001,458.0
0.5680000000000001,455.0
0.5690000000000001,456.0
0.5700000000000001,460.0
0.5710000000000001,464.0
0.5720000000000001,468.0
0.5730000000000001,469.0
0.5740000000000001,469.0
0.5750000000000001,469.0
0.5760000000000001,470.0
0.577,469.0
0.578,465.0
0.579,462.0
0.58,457.0
0.581,454.0
0.582,451.0
0.583,447.0
0.584,445.0
0.585,444.0
0.586,445.0
0.587,447.0
0.588,451.0
0.589,454.0
0.59,455.0
0.591,455.0
0.592,456.0
0.593,457.0
0.594,459.0
0.595,459.0
0.596,455.0
0.597,452.0
0.598,449.0
0.599,449.0
0.6,449.0
0.601,451.0
0.602,453.0
0.603,454.0
0.604,456.0
0.605,460.0
0.606,462.0
0.607,463.0
0.608,464.0
0.609,463.0
0.61,462.0
0.611,460.0
0.612,460.0
0.613,457.0
0.614,455.0
0.615,454.0
0.616,453.0
0.617,454.0
0.618,454.0
0.619,456.0
0.62,460.0
0.621,464.0
0.622,468.0
0.623,472.0
0.624,473.0
0.625,474.0
0.626,474.0
0.627,473.0
0.628,472.0
0.629,470.0
0.63,470.0
0.631,468.0
0.632,467.0
0.633,463.0
0.634,461.0
0.635,462.0
0.636,464.0
0.637,467.0
0.638,472.0
0.639,479.0
0.64,483.0
0.641,487.0
0.642,486.0
0.643,483.0
